# [MS-ERREF] 2.2 Win32 Error Codes, extracted by extract_ms_erref.py --table win32.
# Source: https://learn.microsoft.com/en-us/openspecs/windows_protocols/ms-erref/18d8fbe8-a967-4f1c-ae50-99ca8e491d2d
# Columns: code (hex, no prefix), symbolic name, description.
# Rows are in specification order; a code may carry more than one name.
00000258	ERROR_CONVERT_TO_LARGE	Internal OFS status codes indicating how an allocation operation is handled. Either it is retried after the containing onode is moved or the extent stream is converted to a large stream.
00000259	ERROR_FOUND_OUT_OF_SCOPE	The attempt to find the object found an object matching by ID on the volume but it is out of the scope of the handle used for the operation.
0000025A	ERROR_ALLOCATE_BUCKET	The bucket array must be grown. Retry transaction after doing so.
0000025B	ERROR_MARSHALL_OVERFLOW	The user/kernel marshaling buffer has overflowed.
0000025C	ERROR_INVALID_VARIANT	The supplied variant structure contains invalid data.
0000025D	ERROR_BAD_COMPRESSION_BUFFER	The specified buffer contains ill-formed data.
0000025E	ERROR_AUDIT_FAILED	{Audit Failed} An attempt to generate a security audit failed.
0000025F	ERROR_TIMER_RESOLUTION_NOT_SET	The timer resolution was not previously set by the current process.
00000260	ERROR_INSUFFICIENT_LOGON_INFO	There is insufficient account information to log you on.
00000261	ERROR_BAD_DLL_ENTRYPOINT	{Invalid DLL Entrypoint} The dynamic link library %hs is not written correctly. The stack pointer has been left in an inconsistent state. The entry point should be declared as WINAPI or STDCALL. Select YES to fail the DLL load. Select NO to continue execution. Selecting NO can cause the application to operate incorrectly.
00000262	ERROR_BAD_SERVICE_ENTRYPOINT	{Invalid Service Callback Entrypoint} The %hs service is not written correctly. The stack pointer has been left in an inconsistent state. The callback entry point should be declared as WINAPI or STDCALL. Selecting OK will cause the service to continue operation. However, the service process might operate incorrectly.
00000263	ERROR_IP_ADDRESS_CONFLICT1	There is an IP address conflict with another system on the network.
00000264	ERROR_IP_ADDRESS_CONFLICT2	There is an IP address conflict with another system on the network.
